Activity,Quantity,CaseID,Timestamp
mine_total,1000000,me,"2021-12-07 04:28:40.000"
mine_total,800000,me,"2021-12-07 00:54:54.000"
mine_total,700000,me,"2021-12-07 00:54:46.000"
mine_total,100000,me,"2021-12-07 00:54:37.000"
mine_total,200000,me,"2021-12-07 00:54:29.000"
mine_total,400000,me,"2021-12-07 00:54:24.000"
mine_total,400000,me,"2021-12-07 00:54:16.000"
mine_total,300000,me,"2021-12-07 00:54:12.000"
mine_total,200000,me,"2021-12-07 00:54:03.000"
mine_total,100000,me,"2021-12-07 00:53:59.000"
mine_total,100000,me,"2021-12-07 00:53:46.000"
mine_total,100000,me,"2021-12-07 00:53:38.000"
mine_total,100000,me,"2021-12-07 00:53:34.000"
mine_total,100000,me,"2021-12-07 00:53:25.000"
mine_total,100000,me,"2021-12-07 00:53:12.000"
mine_total,100000,me,"2021-12-07 00:53:04.000"
mine_total,100000,me,"2021-12-07 00:53:00.000"
mine_total,100000,me,"2021-12-07 00:52:51.000"
mine_total,100000,me,"2021-12-07 00:52:43.000"
mine_total,100000,me,"2021-12-07 00:52:34.000"
mine_total,100000,me,"2021-12-07 00:52:22.000"
mine_total,100000,me,"2021-12-07 00:52:13.000"
mine_total,100000,me,"2021-12-07 00:52:01.000"
mine_total,100000,me,"2021-12-07 00:51:52.000"
mine_total,100000,me,"2021-12-07 00:51:48.000"
mine_total,100000,me,"2021-12-07 00:51:39.000"
mine_total,100000,me,"2021-12-07 00:51:31.000"
mine_total,100000,me,"2021-12-07 00:51:18.000"
mine_total,100000,me,"2021-12-07 00:51:10.000"
mine_total,1000000,me,"2021-12-07 00:43:21.000"
mine_total,0,me,"2021-12-07 00:42:56.000"
mine_total,1000000,me,"2021-12-07 00:42:51.000"
mine_total,18000000,me,"2021-11-12 00:51:34.000"
mine_total,10000000,me,"2021-11-12 00:50:48.000"
mine_total,10000000,me,"2021-11-12 00:50:27.000"
mine_total,10000000,me,"2021-11-12 00:48:58.000"
mine_total,15000000,me,"2021-11-11 18:35:06.000"
mine_total,10000000,me,"2021-11-11 18:26:32.000"
mine_total,10000000,me,"2021-11-11 18:12:41.000"
mine_total,10000000,me,"2021-11-11 18:12:15.000"
mine_jx3,800000,me,"2021-12-07 00:54:54.000"
mine_jx3,400000,me,"2021-12-07 00:54:16.000"
mine_jx3,300000,me,"2021-12-07 00:54:12.000"
mine_jx3,100000,me,"2021-12-07 00:53:25.000"
mine_jx3,100000,me,"2021-12-07 00:52:43.000"
mine_jx3,100000,me,"2021-12-07 00:51:52.000"
mine_jx3,100000,me,"2021-12-07 00:51:48.000"
mine_jx3,100000,me,"2021-12-07 00:51:10.000"
mine_ex3,200000,me,"2021-12-07 00:54:29.000"
mine_ex3,400000,me,"2021-12-07 00:54:24.000"
mine_ex3,100000,me,"2021-12-07 00:53:38.000"
mine_ex3,100000,me,"2021-12-07 00:53:34.000"
mine_ex3,100000,me,"2021-12-07 00:53:00.000"
mine_ex3,100000,me,"2021-12-07 00:52:51.000"
mine_ex3,100000,me,"2021-12-07 00:52:22.000"
mine_ex3,100000,me,"2021-12-07 00:51:31.000"
mine_ex3,100000,me,"2021-12-07 00:51:18.000"
random1_total,10000000,random1,"2021-03-24 09:13:41.000"
random2_total,2000,random2,"2022-01-21 01:08:10.000"
random2_total,5950000,random2,"2022-01-21 01:08:10.000"
random2_total,20000000,random2,"2022-01-16 07:05:45.000"
random2_total,0,random2,"2022-01-09 06:22:21.000"
random2_total,1100000,random2,"2022-01-09 06:22:21.000"
random2_total,32000000,random2,"2022-01-09 06:22:21.000"
random2_total,35000000,random2,"2022-01-09 06:01:01.000"
random3_total,2000,random3,"2022-01-21 01:11:37.000"
random3_total,5607581,random3,"2022-01-21 01:11:37.000"
random3_total,2000,random3,"2022-01-21 01:10:21.000"
random3_total,241746,random3,"2022-01-21 01:10:21.000"
random3_total,4055089,random3,"2022-01-21 01:10:21.000"
random3_total,5665189,random3,"2022-01-21 01:10:21.000"
random3_total,1503494,random3,"2022-01-21 01:10:21.000"
random3_total,2000,random3,"2022-01-21 01:10:21.000"
random3_total,1503494,random3,"2022-01-21 01:10:21.000"
random3_total,2000,random3,"2022-01-21 01:10:21.000"
random3_total,1503494,random3,"2022-01-21 01:10:21.000"
random3_total,2000,random3,"2022-01-21 01:10:21.000"
random3_total,1503494,random3,"2022-01-21 01:10:21.000"
random3_total,10000000,random3,"2022-01-18 19:50:16.000"
random3_total,2000,random3,"2022-01-16 01:10:56.000"
random3_total,2606379,random3,"2022-01-16 01:10:56.000"
random3_total,746310,random3,"2022-01-16 01:10:56.000"
random3_total,2000,random3,"2022-01-16 01:10:56.000"
random3_total,497999,random3,"2022-01-16 01:10:56.000"
random3_total,2000,random3,"2022-01-16 01:09:52.000"
random3_total,615616,random3,"2022-01-16 01:09:52.000"
random3_total,2000,random3,"2022-01-16 01:09:52.000"
random3_total,3380384,random3,"2022-01-16 01:09:52.000"
random3_total,2000,random3,"2022-01-16 01:08:19.000"
random3_total,1909669,random3,"2022-01-16 01:08:19.000"
random3_total,2000,random3,"2022-01-16 01:06:58.000"
random3_total,9000000,random3,"2022-01-16 01:06:58.000"
random3_total,10000000,random3,"2022-01-14 18:22:41.000"
random3_total,2000,random3,"2022-01-11 19:11:59.000"
random3_total,27300000,random3,"2022-01-11 19:11:59.000"
random3_total,2000,random3,"2022-01-11 19:11:00.000"
random3_total,22669195,random3,"2022-01-11 19:11:00.000"
random3_total,904802,random3,"2022-01-11 19:11:00.000"
random3_total,2000,random3,"2022-01-11 19:10:05.000"
random3_total,30000000,random3,"2022-01-11 19:10:05.000"
random3_total,10000000,random3,"2022-01-07 16:35:19.000"
random3_total,10000000,random3,"2022-01-07 16:34:32.000"
random3_total,10000000,random3,"2022-01-05 20:47:56.000"
random3_total,2000,random3,"2022-01-03 22:50:01.000"
random3_total,8630769,random3,"2022-01-03 22:50:01.000"
random3_total,2000,random3,"2022-01-03 22:48:58.000"
random3_total,11000000,random3,"2022-01-03 22:48:58.000"
random3_total,10000000,random3,"2022-01-02 21:41:15.000"
random3_total,2000,random3,"2022-01-01 01:36:30.000"
random3_total,103224,random3,"2022-01-01 01:36:30.000"
random3_total,2000,random3,"2022-01-01 01:35:43.000"
random3_total,3999934,random3,"2022-01-01 01:35:43.000"
random3_total,2000,random3,"2022-01-01 01:33:10.000"
random3_total,816000,random3,"2022-01-01 01:33:10.000"
random3_total,2000,random3,"2022-01-01 01:33:10.000"
random3_total,2028000,random3,"2022-01-01 01:33:10.000"
random3_total,2000,random3,"2022-01-01 01:33:10.000"
random3_total,2028000,random3,"2022-01-01 01:33:10.000"
random3_total,2000,random3,"2022-01-01 01:33:10.000"
random3_total,2028000,random3,"2022-01-01 01:33:10.000"
random3_total,2000,random3,"2022-01-01 01:32:15.000"
random3_total,14950000,random3,"2022-01-01 01:32:15.000"
random3_total,10000000,random3,"2021-12-31 08:19:24.000"
random3_total,2000,random3,"2021-12-28 19:53:48.000"
random3_total,575000,random3,"2021-12-28 19:53:48.000"
random3_total,2000,random3,"2021-12-28 19:53:01.000"
random3_total,6897700,random3,"2021-12-28 19:53:01.000"
random3_total,2000,random3,"2021-12-28 19:52:10.000"
random3_total,1110776,random3,"2021-12-28 19:52:10.000"
random3_total,2000,random3,"2021-12-28 19:51:11.000"
random3_total,1101029,random3,"2021-12-28 19:51:11.000"
random3_total,2000,random3,"2021-12-28 19:51:11.000"
random3_total,3945485,random3,"2021-12-28 19:51:11.000"
random3_total,2000,random3,"2021-12-28 19:51:11.000"
random3_total,3945485,random3,"2021-12-28 19:51:11.000"
random3_total,10000000,random3,"2021-12-26 22:35:02.000"
random3_total,2000,random3,"2021-12-25 23:25:17.000"
random3_total,4826959,random3,"2021-12-25 23:25:17.000"
random3_total,2000,random3,"2021-12-25 23:24:39.000"
random3_total,4429299,random3,"2021-12-25 23:24:39.000"
random3_total,138676,random3,"2021-12-25 23:24:39.000"
random3_total,2000,random3,"2021-12-25 23:24:35.000"
random3_total,138675,random3,"2021-12-25 23:24:35.000"
random3_total,2000,random3,"2021-12-25 23:24:35.000"
random3_total,138675,random3,"2021-12-25 23:24:35.000"
random3_total,2000,random3,"2021-12-25 23:24:35.000"
random3_total,138675,random3,"2021-12-25 23:24:35.000"
random3_total,10000000,random3,"2021-12-25 08:11:16.000"
random3_total,2000,random3,"2021-12-24 08:03:59.000"
random3_total,299999,random3,"2021-12-24 08:03:59.000"
random3_total,2000,random3,"2021-12-24 08:03:25.000"
random3_total,999999,random3,"2021-12-24 08:03:25.000"
random3_total,2000,random3,"2021-12-24 08:02:56.000"
random3_total,22954,random3,"2021-12-24 08:02:56.000"
random3_total,2000,random3,"2021-12-24 08:02:18.000"
random3_total,1999998,random3,"2021-12-24 08:02:18.000"
random3_total,2000,random3,"2021-12-23 14:51:16.000"
random3_total,350000,random3,"2021-12-23 14:51:16.000"
random3_total,2000,random3,"2021-12-23 14:50:42.000"
random3_total,980000,random3,"2021-12-23 14:50:42.000"
random3_total,2000,random3,"2021-12-23 14:48:43.000"
random3_total,5000000,random3,"2021-12-23 14:48:43.000"
random3_total,2000,random3,"2021-12-23 00:50:24.000"
random3_total,800000,random3,"2021-12-23 00:50:24.000"
random3_total,2000,random3,"2021-12-23 00:49:50.000"
random3_total,2750000,random3,"2021-12-23 00:49:50.000"
random3_total,2000,random3,"2021-12-23 00:49:16.000"
random3_total,1937600,random3,"2021-12-23 00:49:16.000"
random3_total,2000,random3,"2021-12-23 00:48:34.000"
random3_total,1999800,random3,"2021-12-23 00:48:34.000"
random3_total,10000000,random3,"2021-12-22 10:52:52.000"
random3_total,2000,random3,"2021-12-22 07:21:30.000"
random3_total,45718,random3,"2021-12-22 07:21:30.000"
random3_total,2000,random3,"2021-12-22 07:20:52.000"
random3_total,1000085,random3,"2021-12-22 07:20:52.000"
random3_total,2000,random3,"2021-12-22 07:19:14.000"
random3_total,3371,random3,"2021-12-22 07:19:14.000"
random3_total,2000,random3,"2021-12-22 07:18:40.000"
random3_total,999999,random3,"2021-12-22 07:18:40.000"
random3_total,2000,random3,"2021-12-22 07:18:02.000"
random3_total,746823,random3,"2021-12-22 07:18:02.000"
random3_total,2000,random3,"2021-12-22 07:17:28.000"
random3_total,32921280,random3,"2021-12-22 07:17:28.000"
random3_total,10000000,random3,"2021-12-21 21:11:50.000"
random3_total,10000000,random3,"2021-12-20 18:57:56.000"
random3_total,10000000,random3,"2021-12-20 18:26:03.000"
random3_total,2000,random3,"2021-12-20 01:46:31.000"
random3_total,833331,random3,"2021-12-20 01:46:31.000"
random3_total,2000,random3,"2021-12-20 01:45:57.000"
random3_total,9999983,random3,"2021-12-20 01:45:57.000"
random3_total,2000,random3,"2021-12-20 01:45:23.000"
random3_total,4080004,random3,"2021-12-20 01:45:23.000"
random3_total,2000,random3,"2021-12-20 01:44:45.000"
random3_total,8000000,random3,"2021-12-20 01:44:45.000"
random3_total,2000,random3,"2021-12-20 01:44:02.000"
random3_total,1943056,random3,"2021-12-20 01:44:02.000"
random3_total,2794525,random3,"2021-12-20 01:44:02.000"
random3_total,605702,random3,"2021-12-20 01:44:02.000"
random3_total,2000,random3,"2021-12-20 01:44:02.000"
random3_total,605700,random3,"2021-12-20 01:44:02.000"
random3_total,2000,random3,"2021-12-20 01:44:02.000"
random3_total,605700,random3,"2021-12-20 01:44:02.000"
random3_total,2000,random3,"2021-12-20 01:44:02.000"
random3_total,605700,random3,"2021-12-20 01:44:02.000"
random3_total,2000,random3,"2021-12-20 01:43:24.000"
random3_total,13999999,random3,"2021-12-20 01:43:24.000"
random3_total,2000,random3,"2021-12-20 01:42:50.000"
random3_total,2743275,random3,"2021-12-20 01:42:50.000"
random3_total,2000,random3,"2021-12-20 01:42:50.000"
random3_total,8858361,random3,"2021-12-20 01:42:50.000"
random3_total,2000,random3,"2021-12-20 01:42:50.000"
random3_total,8858361,random3,"2021-12-20 01:42:50.000"
random3_total,2000,random3,"2021-12-20 01:42:17.000"
random3_total,32999998,random3,"2021-12-20 01:42:17.000"
random3_total,10000000,random3,"2021-12-19 17:26:23.000"
random3_total,10000000,random3,"2021-12-19 16:29:42.000"
random3_total,10000000,random3,"2021-12-19 16:19:11.000"
random3_total,10000000,random3,"2021-12-17 11:56:23.000"
