Activity,Quantity,CaseID,Timestamp
"ZDIQ3EL7VENS4FNLYT4VJA7I2HVQOJGQUWQJPAWBFH33BZTU2HF7NUO57Q",0,"ZDIQ3EL7VENS4FNLYT4VJA7I2HVQOJGQUWQJPAWBFH33BZTU2HF7NUO57Q","2022-01-19 06:00:13.000"
"QXJWNST3WKI4R7SJRZVWB2F7ZGMFI24PTZEUWHEHGLAE2CY3EZJ42T3AIA",0,"QXJWNST3WKI4R7SJRZVWB2F7ZGMFI24PTZEUWHEHGLAE2CY3EZJ42T3AIA","2022-01-19 06:01:36.000"
"2ALMGSC6OBPY6ZVSKYMHM3CRQ2ID6WKP56VFCL6PF3GGNB46ARPNV5YZR4",0,"2ALMGSC6OBPY6ZVSKYMHM3CRQ2ID6WKP56VFCL6PF3GGNB46ARPNV5YZR4","2022-01-19 06:13:30.000"
"KDQY3WQMBW4YWEMMC5UCPID6TJPCYJOJDM4TWUWJHOJ32NVSTSOT7JJMWY",0,"KDQY3WQMBW4YWEMMC5UCPID6TJPCYJOJDM4TWUWJHOJ32NVSTSOT7JJMWY","2022-01-19 06:34:59.000"
"CHAINKX22I7YNLPJVC3HP6RIFAUSPZG7RPSWIJIOPDCT6BLUAGBLCHPQZM",420,"ALCPLKSPNR6OD62X2Z3MWXYBZZD2MYDF5OYM7LT73DXOXPFWFXO7TYMY3A","2022-01-19 06:57:27.000"
"L27WAG2OSETWK65YWIMNVBZDNIQJ4GSIM6PUPCAJVKWWEYWJUP5HZW3MXM",0,"L27WAG2OSETWK65YWIMNVBZDNIQJ4GSIM6PUPCAJVKWWEYWJUP5HZW3MXM","2022-01-19 07:03:57.000"
"7FK3MUBSI3QLIDFK3KWOIPWBGB6EMABNKFB22MD7MDZOLFKD7J44XNC5RE",12,"4JZ3YUSJRODL6J5AS67PBCDSOMA5JBZ2KHW5TNEAHFUJFZ5AGZSJ2W5ODU","2022-01-19 07:07:31.000"
"7FK3MUBSI3QLIDFK3KWOIPWBGB6EMABNKFB22MD7MDZOLFKD7J44XNC5RE",12,"O3QO4HPTVJV73BUXJU2P5FVFWWQCHWEYFQSFXASYXKSKAKYEU6KHGSAKGM","2022-01-19 07:07:44.000"
"OJGTHEJ2O5NXN7FVXDZZEEJTUEQHHCIYIE5MWY6BEFVVLZ2KANJODBOKGA",0,"ZYGZNWBXTID2VAUKG53WPNVAEBPZWHLNLS4OIOGXETDY42DS33NOCAFFZU","2022-01-19 07:41:20.000"
"OJGTHEJ2O5NXN7FVXDZZEEJTUEQHHCIYIE5MWY6BEFVVLZ2KANJODBOKGA",0,"FRWCEDWFDQGT7BBNCI7P3GW2AN3H2VUA7BC74UVJAEBWDROUIVVTRGWAJI","2022-01-19 07:54:33.000"
"OPEXH4MYY6B2T75OTJPRLPR4JGXKNVVHBDFBLLJ3RW7MTJEUXIIG3YJARA",25,"AHDODMAWYAB2Y3EQKXDDUR4G4Z5GTXXWG4G35RYBQLORZJJWBOVXKQR5AQ","2022-01-19 08:07:42.000"
"OJGTHEJ2O5NXN7FVXDZZEEJTUEQHHCIYIE5MWY6BEFVVLZ2KANJODBOKGA",0,"AHDODMAWYAB2Y3EQKXDDUR4G4Z5GTXXWG4G35RYBQLORZJJWBOVXKQR5AQ","2022-01-19 08:08:14.000"
"SMQORYS45T5EDLWQXH547YO3OXWAT2JNVF6HQDV6SUOA3LCSYSBBMMTGSA",0,"SMQORYS45T5EDLWQXH547YO3OXWAT2JNVF6HQDV6SUOA3LCSYSBBMMTGSA","2022-01-19 08:11:54.000"
"2DGYQZOUKJ2NFSM2BWYTAYH4TO7XCQGO56HIO2UCKJNNQGXBURFDZNYSIU",0,"2DGYQZOUKJ2NFSM2BWYTAYH4TO7XCQGO56HIO2UCKJNNQGXBURFDZNYSIU","2022-01-19 08:16:56.000"
"22OMVLAHPQWYPASUEMECM2GHQW5CJGOY4WH6EKT4TSVAJI46KDFR4HFD7Q",0,"22OMVLAHPQWYPASUEMECM2GHQW5CJGOY4WH6EKT4TSVAJI46KDFR4HFD7Q","2022-01-19 08:21:12.000"
